mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
18,8,307,130,3504,12,70,usa,chevrolet chevelle malibu
15,8,350,165,3693,11.5,70,usa,buick skylark 320
18,8,318,150,3436,11,70,usa,plymouth satellite
16,8,304,150,3433,12,70,usa,amc rebel sst
28,4,307,100,2504,12,80,japan,datsun 310gx
25,4,350,105,2693,11.5,84,japan,honda crx si
28,4,318,100,2436,11,86,japan,mazda 626
26,4,304,100,2433,12,05,japan,honda pilot
38,6,207,100,2504,12,88,europe,bmw 318ti
35,6,250,105,2693,11.5,82,europe,audi 100
38,6,218,100,2436,11,98,europe,opel astra
36,6,204,100,2433,12,02,europe,mercedes c230
